Fluxx Glossary,,,,,,,
Report Date: 05-Nov-2024,,,,,,,
Model Type,Field Name,Label,Use,Theme Name,Form Name,Order,Legacy
Grant Request,program_organization_id.name,Organization Name,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,project_summary,Project summary,Core Field,,,,
Grant Request,project_summary,Project Summary,Form Builder,Bundle 1 - Quick Start,Grant,,
Grant Request,project_summary,Project Summary,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,project_summary,Application Summary,Export Format,,,56,
Grant Request,project_summary_native,Project summary native,Core Field,,,,
Grant Request,project_summary_native_updated,Project summary native updated,Core Field,,,,
Grant Request,project_title,Project Title,Dynamic Field,,,,
Grant Request,project_title,Project Title,Form Builder,Bundle 1 - Quick Start,Grant,,
Grant Request,project_title,Project Title,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,project_title,Project Title,Export Format,,,76,
Grant Request,racial_equity_focus,Racial Equity Focus,Dynamic Field,,,,
